Date,Username,URL,Hashtags,Rendered_Content,Out_Links,Users_Mentioned,Media,Coordinates,Place,Source_URL,Source_Label,Retweeted_Tweet,Quoted_Tweet,Replies,Retweets,Likes,Quotes
6/30/2011 1:41:54 PM,SBTS,https://twitter.com/SBTS/status/86489653166878720,['D3'],Listening to @albertmohler preach the last session of #D3. What a great week!!  yfrog.com/ki1sbgpj,['http://yfrog.com/ki1sbgpj'],['albertmohler'],,,,http://twitter.com/download/iphone,Twitter for iPhone,,,0,0,0,0
6/30/2011 8:43:51 AM,SBTS,https://twitter.com/SBTS/status/86414643047833600,,In The Briefing @albertmohler discusses 150-year Madoff sentence; marriage a mixed blessing; 20-week abortions; & more. http://ow.ly/5tMRH,,['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,0,0,0
6/29/2011 8:55:21 AM,SBTS,https://twitter.com/SBTS/status/86055152133476353,,In The Briefing @albertmohler discusses Obama's position on gay marriage; Supreme Court ruling on video games; & more. http://ow.ly/5sRlx,,['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,0,1,0
6/28/2011 8:55:51 AM,SBTS,https://twitter.com/SBTS/status/85692890344472576,,In The Briefing @albertmohler discusses Blagojevich guilty; gay marriage beyond NY; San Francisco pet sale ban; & more. http://ow.ly/5rTBz,,['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,0,0,0
6/27/2011 9:52:42 AM,SBTS,https://twitter.com/SBTS/status/85344806292832256,,In The Briefing @albertmohler discusses NY & same-sex marriage; Obama & gay rights; Palm Springs; Peter Falk; & more. goo.gl/FAhu,['http://goo.gl/FAhu'],['albertmohler'],,,,http://twitter.com,Twitter Web Client,,,0,1,0,0
6/24/2011 8:59:03 AM,SBTS,https://twitter.com/SBTS/status/84244144423313408,,In The Briefing @albertmohler discusses family changes; baby makes four; river inundates ND city; extra hour; & more. http://ow.ly/5ptYJ,,['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,0,0,0
6/23/2011 7:42:20 AM,SBTS,https://twitter.com/SBTS/status/83862448934895617,,In The Briefing @albertmohler discusses Jon Huntsman; SlutWalks & future of feminism; WA effort to legalize pot; & more. http://ow.ly/5oyBR,,['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,0,0,0
6/21/2011 8:58:05 AM,SBTS,https://twitter.com/SBTS/status/83156736554446848,,In The Briefing @albertmohler discusses bias suit against Wal-Mart; a new 'Countdown'; soap operas; war drones; & more. http://ow.ly/5mHAV,,['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,0,0,0
6/20/2011 1:41:08 PM,SBTS,https://twitter.com/SBTS/status/82865578473304064,,"Towers: Mohler talks change, development at SBTS luncheon http://ow.ly/5m31C",,[],,,,http://www.hootsuite.com,Hootsuite,,,0,0,0,0
6/20/2011 8:50:57 AM,SBTS,https://twitter.com/SBTS/status/82792553207967746,,In The Briefing @albertmohler discusses Obama's views on gay marriage; Cuomo expects gay marriage bill to pass; & more. http://ow.ly/5lI47,,['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,0,0,0
6/17/2011 11:21:40 AM,SBTS,https://twitter.com/SBTS/status/81743317905326080,,Towers: New York Times quotes Mohler in story about SBC leadership diversity http://ow.ly/5kh1H,,[],,,,http://www.hootsuite.com,Hootsuite,,,0,1,0,0
6/17/2011 8:55:29 AM,SBTS,https://twitter.com/SBTS/status/81706529211949057,,In The Briefing @albertmohler discusses digital flirting; IBM turns 100; Apple stores chief to J.C. Penney; dads; & more. http://ow.ly/5k6Ws,,['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,1,0,0
6/16/2011 9:08:28 AM,SBTS,https://twitter.com/SBTS/status/81347411250921472,,In The Briefing @albertmohler discusses 8th Hindu center in Phoenix; opt-out right in AZ; single-sex dorms; & more. http://ow.ly/5jcJl,,['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,0,0,0
6/15/2011 9:08:51 AM,SBTS,https://twitter.com/SBTS/status/80985117778132992,,In The Briefing @albertmohler discusses unrest in China; separation of church & school; senators & gay marriage; & more. http://ow.ly/5iekV,,['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,0,0,0
6/14/2011 5:40:07 PM,SBTS,https://twitter.com/SBTS/status/80751393635450881,,Towers: CNN notes Mohler’s comments about Rep. Anthony Weiner http://ow.ly/5hPM4,,[],,,,http://www.hootsuite.com,Hootsuite,,,0,0,0,0
6/14/2011 9:28:11 AM,SBTS,https://twitter.com/SBTS/status/80627597733662720,,In The Briefing @albertmohler discusses Obama suggesting Weiner step down; online looking glass; strains in NATO; & more. http://ow.ly/5hkDN,,['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,0,0,0
6/13/2011 9:05:27 AM,SBTS,https://twitter.com/SBTS/status/80259487616876545,,In The Briefing @albertmohler discusses Weiner won't resign; technology & scandal; Egypt’s Christians despair; & more. http://ow.ly/5glQN,,['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,0,0,0
6/12/2011 3:25:04 PM,SBTS,https://twitter.com/SBTS/status/79992633384120320,,Join @albertmohler @drmoore and others for the SBTS luncheon at the SBC Annual Meeting in Phoenix. Tickets & info at http://ow.ly/5djQl,,"['albertmohler', 'drmoore']",,,,http://www.hootsuite.com,Hootsuite,,,0,0,0,0
6/10/2011 9:30:42 AM,SBTS,https://twitter.com/SBTS/status/79178678038315009,,Join @albertmohler @drmoore and others for the SBTS luncheon at the SBC Annual Meeting in Phoenix. Tickets & info at http://ow.ly/5djQl,,"['albertmohler', 'drmoore']",,,,http://www.hootsuite.com,Hootsuite,,,1,0,0,0
6/9/2011 8:58:08 AM,SBTS,https://twitter.com/SBTS/status/78808096234934272,,In The Briefing @albertmohler discusses Democratic rule in CT's legislature; urgency in WI; Anthony Weiner; & more. http://ow.ly/5dR8t,,['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,1,0,0
6/8/2011 3:08:27 PM,SBTS,https://twitter.com/SBTS/status/78538898703257600,,Join @albertmohler @drmoore and others for the SBTS luncheon at the SBC Annual Meeting in Phoenix. Tickets & info at http://ow.ly/5djQl,,"['albertmohler', 'drmoore']",,,,http://www.hootsuite.com,Hootsuite,,,0,0,0,0
6/8/2011 9:02:40 AM,SBTS,https://twitter.com/SBTS/status/78446846699245568,,In The Briefing @albertmohler discusses Anthony Weiner's judgment; BCS strips Southern Cal of 2004 championship; & more. http://ow.ly/5cWkn,,['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,0,0,0
6/7/2011 8:49:16 AM,SBTS,https://twitter.com/SBTS/status/78081088907526144,,In The Briefing @albertmohler discusses Anthony Weiner won't resign; Edwards case & Justice unit; Dear France; & more. http://ow.ly/5bVQC,,['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,0,0,0
6/6/2011 10:30:07 AM,SBTS,https://twitter.com/SBTS/status/77744080838332416,,@albertmohler is sharing wisdom about the value of marriage today on Focus on the Family http://ow.ly/5b0JZ,,['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,2,2,0
